user_id,group,converted,revenue,signup_date
199,control,0,0,2024-01-29
200,control,0,0,2024-01-17
201,control,0,0,2024-01-20
202,control,0,0,2024-01-07
203,control,0,0,2024-01-11
204,control,0,0,2024-01-08
205,control,0,0,2024-01-07
206,control,0,0,2024-01-28
207,control,0,0,2024-01-19
208,control,0,0,2024-01-20
209,control,0,0,2024-01-12
210,control,0,0,2024-01-07
211,control,0,0,2024-01-08
212,control,0,0,2024-01-07
213,control,0,0,2024-01-06
214,control,0,0,2024-01-25
215,control,0,0,2024-01-09
216,control,0,0,2024-01-27
217,control,0,0,2024-01-13
218,control,0,0,2024-01-07
219,control,0,0,2024-01-08
220,control,0,0,2024-01-22
221,control,0,0,2024-01-17
222,control,0,0,2024-01-17
223,control,0,0,2024-01-16
224,control,0,0,2024-01-22
225,control,0,0,2024-01-02
226,control,0,0,2024-01-30
227,control,1,30,2024-01-08
228,control,0,0,2024-01-17
229,control,0,0,2024-01-13
230,control,0,0,2024-01-18
231,control,0,0,2024-01-24
232,control,0,0,2024-01-28
233,control,0,0,2024-01-22
234,control,0,0,2024-01-28
235,control,0,0,2024-01-10
236,control,0,0,2024-01-02
237,control,0,0,2024-01-02
238,control,0,0,2024-01-27
239,control,0,0,2024-01-14
240,control,0,0,2024-01-16
241,control,1,30,2024-01-07
242,control,1,30,2024-01-21
243,control,1,30,2024-01-21
244,control,0,0,2024-01-24
245,control,0,0,2024-01-12
246,control,1,30,2024-01-28
247,control,0,0,2024-01-23
248,control,1,30,2024-01-28
249,control,1,30,2024-01-14
250,control,0,0,2024-01-25
251,control,0,0,2024-01-04
252,control,0,0,2024-01-26
253,control,0,0,2024-01-04
254,control,0,0,2024-01-18
255,control,0,0,2024-01-03
256,control,0,0,2024-01-01
257,control,1,30,2024-01-17
258,control,0,0,2024-01-07
259,control,0,0,2024-01-30
260,control,0,0,2024-01-16
261,control,0,0,2024-01-30
262,control,1,30,2024-01-05
263,control,0,0,2024-01-19
264,control,0,0,2024-01-07
265,control,0,0,2024-01-14
266,control,0,0,2024-01-02
267,control,0,0,2024-01-03
268,control,0,0,2024-01-17
269,control,0,0,2024-01-16
270,control,0,0,2024-01-08
271,control,0,0,2024-01-18
272,control,0,0,2024-01-15
273,control,0,0,2024-01-07
274,control,1,30,2024-01-27
275,control,0,0,2024-01-09
276,control,0,0,2024-01-06
277,control,0,0,2024-01-18
278,control,0,0,2024-01-18
279,control,0,0,2024-01-25
280,control,0,0,2024-01-26
281,control,0,0,2024-01-24
282,control,0,0,2024-01-14
283,control,0,0,2024-01-14
284,control,0,0,2024-01-14
285,control,0,0,2024-01-25
286,control,0,0,2024-01-04
287,control,0,0,2024-01-04
288,control,0,0,2024-01-15
289,control,0,0,2024-01-15
290,control,0,0,2024-01-18
291,control,0,0,2024-01-14
292,control,0,0,2024-01-26
293,control,0,0,2024-01-01
294,control,0,0,2024-01-10
295,control,0,0,2024-01-29
296,control,0,0,2024-01-20
297,control,0,0,2024-01-10
298,control,0,0,2024-01-10
299,control,0,0,2024-01-27
300,control,0,0,2024-01-24
301,control,0,0,2024-01-02
302,control,0,0,2024-01-29
303,control,0,0,2024-01-28
304,control,0,0,2024-01-27
305,control,0,0,2024-01-08
306,control,1,30,2024-01-01
307,control,0,0,2024-01-01
308,control,0,0,2024-01-04
309,control,0,0,2024-01-07
310,control,0,0,2024-01-09
311,control,0,0,2024-01-16
312,control,0,0,2024-01-05
313,control,0,0,2024-01-02
314,control,1,30,2024-01-28
315,control,0,0,2024-01-23
316,control,0,0,2024-01-11
317,control,0,0,2024-01-18
318,control,0,0,2024-01-25
319,control,0,0,2024-01-25
320,control,0,0,2024-01-19
321,control,0,0,2024-01-13
322,control,0,0,2024-01-24
323,control,0,0,2024-01-11
324,control,0,0,2024-01-20
325,control,1,30,2024-01-19
326,control,0,0,2024-01-17
327,control,0,0,2024-01-05
328,control,0,0,2024-01-13
329,control,0,0,2024-01-30
330,control,0,0,2024-01-27
331,control,0,0,2024-01-20
332,control,0,0,2024-01-01
333,control,0,0,2024-01-10
334,control,0,0,2024-01-08
335,control,0,0,2024-01-24
336,control,0,0,2024-01-29
337,control,0,0,2024-01-08
338,control,0,0,2024-01-19
339,control,0,0,2024-01-06
340,control,0,0,2024-01-12
341,control,0,0,2024-01-28
342,control,0,0,2024-01-07
343,control,0,0,2024-01-16
344,control,0,0,2024-01-09
345,control,0,0,2024-01-21
346,control,0,0,2024-01-25
347,control,0,0,2024-01-22
348,control,0,0,2024-01-10
349,control,0,0,2024-01-10
350,control,0,0,2024-01-10
351,control,0,0,2024-01-20
352,control,0,0,2024-01-29
353,control,0,0,2024-01-16
354,control,0,0,2024-01-01
355,control,0,0,2024-01-17
356,control,0,0,2024-01-30
357,control,0,0,2024-01-26
358,control,0,0,2024-01-21
359,control,1,30,2024-01-29
360,control,0,0,2024-01-14
361,control,0,0,2024-01-19
362,control,0,0,2024-01-21
363,control,0,0,2024-01-21
364,control,0,0,2024-01-17
365,control,1,30,2024-01-14
366,control,0,0,2024-01-08
367,control,1,30,2024-01-21
368,control,1,30,2024-01-21
369,control,0,0,2024-01-09
370,control,0,0,2024-01-08
371,control,0,0,2024-01-13
372,control,0,0,2024-01-17
373,control,0,0,2024-01-19
374,control,0,0,2024-01-28
375,control,0,0,2024-01-07
376,control,0,0,2024-01-17
377,control,0,0,2024-01-01
378,control,0,0,2024-01-05
379,control,0,0,2024-01-25
380,control,0,0,2024-01-06
381,control,0,0,2024-01-26
382,control,0,0,2024-01-02
383,control,0,0,2024-01-27
384,control,0,0,2024-01-25
385,control,0,0,2024-01-16
386,control,0,0,2024-01-22
387,control,0,0,2024-01-05
388,control,0,0,2024-01-05
389,control,0,0,2024-01-12
390,control,0,0,2024-01-03
391,control,1,30,2024-01-30
392,control,0,0,2024-01-16
393,control,0,0,2024-01-06
394,control,0,0,2024-01-15
395,control,0,0,2024-01-15
396,control,1,30,2024-01-29
397,control,0,0,2024-01-16
398,control,0,0,2024-01-20
399,control,0,0,2024-01-13
400,control,0,0,2024-01-12
401,control,0,0,2024-01-10
402,control,1,30,2024-01-14
403,control,0,0,2024-01-02
404,control,0,0,2024-01-29
405,control,0,0,2024-01-03
406,control,0,0,2024-01-09
407,control,0,0,2024-01-11
408,control,0,0,2024-01-11
409,control,1,30,2024-01-25
410,control,0,0,2024-01-22
411,control,0,0,2024-01-10
412,control,1,30,2024-01-26
413,control,1,30,2024-01-14
414,control,0,0,2024-01-09
415,control,0,0,2024-01-20
416,control,0,0,2024-01-27
417,control,0,0,2024-01-21
418,control,0,0,2024-01-10
419,control,0,0,2024-01-22
420,control,0,0,2024-01-29
421,control,0,0,2024-01-09
422,control,0,0,2024-01-29
423,control,0,0,2024-01-05
424,control,0,0,2024-01-08
425,control,0,0,2024-01-11
426,control,0,0,2024-01-01
427,control,0,0,2024-01-21
428,control,0,0,2024-01-10
429,control,0,0,2024-01-01
430,control,0,0,2024-01-26
431,control,0,0,2024-01-30
432,control,0,0,2024-01-22
433,control,0,0,2024-01-07
434,control,0,0,2024-01-28
435,control,0,0,2024-01-14
436,control,0,0,2024-01-05
437,control,0,0,2024-01-17
438,control,0,0,2024-01-22
439,control,0,0,2024-01-26
440,control,0,0,2024-01-21
441,control,0,0,2024-01-06
442,control,1,30,2024-01-16
443,control,0,0,2024-01-11
444,control,0,0,2024-01-10
445,control,0,0,2024-01-15
446,control,1,30,2024-01-07
447,control,1,30,2024-01-23
448,control,0,0,2024-01-02
449,control,0,0,2024-01-12
450,control,0,0,2024-01-19
451,control,0,0,2024-01-12
452,control,0,0,2024-01-16
453,control,0,0,2024-01-06
454,control,1,30,2024-01-03
455,control,0,0,2024-01-02
456,control,0,0,2024-01-20
457,control,0,0,2024-01-05
458,control,0,0,2024-01-11
459,control,0,0,2024-01-26
460,control,0,0,2024-01-25
461,control,0,0,2024-01-03
462,control,0,0,2024-01-03
463,control,0,0,2024-01-22
464,control,0,0,2024-01-05
465,control,1,30,2024-01-22
466,control,0,0,2024-01-23
467,control,0,0,2024-01-11
468,control,0,0,2024-01-03
469,control,0,0,2024-01-13
470,control,1,30,2024-01-21
471,control,0,0,2024-01-08
472,control,1,30,2024-01-20
473,control,0,0,2024-01-10
474,control,0,0,2024-01-02
475,control,0,0,2024-01-04
476,control,1,30,2024-01-18
477,control,0,0,2024-01-19
478,control,0,0,2024-01-04
479,control,1,30,2024-01-20
480,control,0,0,2024-01-26
481,control,0,0,2024-01-09
482,control,0,0,2024-01-16
483,control,0,0,2024-01-26
484,control,0,0,2024-01-06
485,control,0,0,2024-01-25
486,control,1,30,2024-01-04
487,control,0,0,2024-01-09
488,control,0,0,2024-01-27
489,control,1,30,2024-01-13
490,control,0,0,2024-01-09
491,control,0,0,2024-01-06
492,control,0,0,2024-01-21
493,control,0,0,2024-01-19
494,control,0,0,2024-01-14
495,control,0,0,2024-01-21
496,control,0,0,2024-01-15
497,control,0,0,2024-01-03
498,control,0,0,2024-01-05
499,control,1,30,2024-01-21
500,control,1,30,2024-01-18
501,control,0,0,2024-01-14
502,control,0,0,2024-01-16
503,control,0,0,2024-01-14
504,control,0,0,2024-01-09
505,control,0,0,2024-01-15
506,control,0,0,2024-01-07
507,control,1,30,2024-01-14
508,control,0,0,2024-01-06
509,control,1,30,2024-01-21
510,control,0,0,2024-01-15
511,control,0,0,2024-01-20
512,control,0,0,2024-01-08
513,control,1,30,2024-01-02
514,control,0,0,2024-01-08
515,control,0,0,2024-01-01
516,control,0,0,2024-01-26
517,control,0,0,2024-01-17
518,control,0,0,2024-01-19
519,control,1,30,2024-01-05
520,control,0,0,2024-01-30
521,control,0,0,2024-01-22
522,control,0,0,2024-01-20
523,control,1,30,2024-01-16
524,control,0,0,2024-01-07
525,control,0,0,2024-01-07
526,control,0,0,2024-01-18
527,control,0,0,2024-01-18
528,control,0,0,2024-01-02
529,control,0,0,2024-01-15
530,control,0,0,2024-01-14
531,control,0,0,2024-01-18
532,control,1,30,2024-01-29
533,control,1,30,2024-01-09
534,control,0,0,2024-01-14
535,control,0,0,2024-01-05
536,control,1,30,2024-01-11
537,control,0,0,2024-01-08
538,control,0,0,2024-01-05
539,control,0,0,2024-01-29
540,control,0,0,2024-01-11
541,control,1,30,2024-01-05
542,control,0,0,2024-01-17
543,control,0,0,2024-01-22
544,control,0,0,2024-01-04
545,control,0,0,2024-01-15
546,control,0,0,2024-01-19
547,control,0,0,2024-01-22
548,control,0,0,2024-01-02
549,control,0,0,2024-01-24
550,control,0,0,2024-01-17
551,control,0,0,2024-01-12
552,control,0,0,2024-01-25
553,control,0,0,2024-01-24
554,control,0,0,2024-01-17
555,control,0,0,2024-01-10
556,control,0,0,2024-01-28
557,control,0,0,2024-01-25
558,control,0,0,2024-01-18
559,control,0,0,2024-01-19
560,control,0,0,2024-01-18
561,control,0,0,2024-01-13
562,control,0,0,2024-01-14
563,control,0,0,2024-01-24
564,control,0,0,2024-01-16
565,control,0,0,2024-01-18
566,control,0,0,2024-01-26
567,control,0,0,2024-01-18
568,control,0,0,2024-01-16
569,control,1,30,2024-01-17
570,control,0,0,2024-01-07
571,control,0,0,2024-01-12
572,control,0,0,2024-01-02
573,control,0,0,2024-01-10
574,control,0,0,2024-01-05
575,control,0,0,2024-01-21
576,control,1,30,2024-01-03
577,control,0,0,2024-01-19
578,control,1,30,2024-01-13
579,control,0,0,2024-01-12
580,control,0,0,2024-01-03
581,control,0,0,2024-01-06
582,control,1,30,2024-01-14
583,control,0,0,2024-01-04
584,control,0,0,2024-01-13
585,control,0,0,2024-01-19
586,control,0,0,2024-01-18
587,control,0,0,2024-01-29
588,control,0,0,2024-01-03
589,control,0,0,2024-01-20
590,control,0,0,2024-01-06
591,control,0,0,2024-01-16
592,control,0,0,2024-01-20
593,control,0,0,2024-01-24
594,control,0,0,2024-01-03
595,control,0,0,2024-01-12
596,control,0,0,2024-01-19
597,control,0,0,2024-01-19
598,control,0,0,2024-01-24
599,control,0,0,2024-01-04
600,control,0,0,2024-01-01
601,control,0,0,2024-01-02
602,control,0,0,2024-01-13
603,control,0,0,2024-01-30
604,control,0,0,2024-01-26
605,control,0,0,2024-01-29
606,control,0,0,2024-01-13
607,control,0,0,2024-01-30
608,control,0,0,2024-01-02
609,control,0,0,2024-01-30
610,control,0,0,2024-01-19
611,control,0,0,2024-01-22
612,control,0,0,2024-01-24
613,control,0,0,2024-01-16
614,control,0,0,2024-01-12
615,control,0,0,2024-01-01
616,control,1,30,2024-01-09
617,control,0,0,2024-01-17
618,control,0,0,2024-01-10
619,control,0,0,2024-01-18
620,control,0,0,2024-01-19
621,control,0,0,2024-01-07
622,control,0,0,2024-01-25
623,control,0,0,2024-01-19
624,control,0,0,2024-01-24
625,control,0,0,2024-01-15
626,control,0,0,2024-01-09
627,control,0,0,2024-01-10
628,control,0,0,2024-01-23
629,control,0,0,2024-01-20
630,control,0,0,2024-01-20
631,control,0,0,2024-01-04
632,control,0,0,2024-01-06
633,control,0,0,2024-01-04
634,control,0,0,2024-01-05
635,control,0,0,2024-01-09
636,control,0,0,2024-01-12
637,control,0,0,2024-01-23
638,control,0,0,2024-01-08
639,control,0,0,2024-01-21
640,control,0,0,2024-01-05
641,control,0,0,2024-01-29
642,control,0,0,2024-01-11
643,control,0,0,2024-01-23
644,control,0,0,2024-01-11
645,control,0,0,2024-01-13
646,control,0,0,2024-01-14
647,control,0,0,2024-01-28
648,control,0,0,2024-01-08
649,control,0,0,2024-01-25
650,control,0,0,2024-01-30
651,control,0,0,2024-01-18
652,control,0,0,2024-01-19
653,control,0,0,2024-01-12
654,control,0,0,2024-01-12
655,control,0,0,2024-01-18
656,control,0,0,2024-01-10
657,control,0,0,2024-01-07
658,control,0,0,2024-01-28
659,control,0,0,2024-01-18
660,control,0,0,2024-01-12
661,control,0,0,2024-01-14
662,control,1,30,2024-01-15
663,control,0,0,2024-01-16
664,control,0,0,2024-01-02
665,control,0,0,2024-01-30
666,control,0,0,2024-01-30
667,control,0,0,2024-01-18
668,control,0,0,2024-01-12
669,control,0,0,2024-01-16
670,control,0,0,2024-01-13
671,control,0,0,2024-01-20
672,control,0,0,2024-01-17
673,control,0,0,2024-01-18
674,control,0,0,2024-01-03
675,control,0,0,2024-01-23
676,control,1,30,2024-01-10
677,control,0,0,2024-01-01
678,control,0,0,2024-01-06
679,control,1,30,2024-01-03
680,control,0,0,2024-01-19
681,control,0,0,2024-01-04
682,control,0,0,2024-01-29
683,control,0,0,2024-01-20
684,control,0,0,2024-01-23
685,control,1,30,2024-01-03
686,control,0,0,2024-01-08
687,control,0,0,2024-01-08
688,control,0,0,2024-01-27
689,control,0,0,2024-01-29
690,control,0,0,2024-01-07
691,control,0,0,2024-01-02
692,control,0,0,2024-01-21
693,control,0,0,2024-01-06
694,control,0,0,2024-01-28
695,control,0,0,2024-01-16
696,control,0,0,2024-01-10
697,control,0,0,2024-01-04
698,control,0,0,2024-01-13
699,control,0,0,2024-01-10
700,control,0,0,2024-01-21
701,control,0,0,2024-01-14
702,control,0,0,2024-01-09
703,control,0,0,2024-01-11
704,control,0,0,2024-01-23
705,control,0,0,2024-01-18
706,control,1,30,2024-01-11
707,control,0,0,2024-01-17
708,control,0,0,2024-01-02
709,control,0,0,2024-01-03
710,control,0,0,2024-01-11
711,control,0,0,2024-01-18
712,control,0,0,2024-01-27
713,control,0,0,2024-01-03
714,control,0,0,2024-01-26
715,control,0,0,2024-01-15
716,control,1,30,2024-01-11
717,control,0,0,2024-01-11
718,control,1,30,2024-01-28
719,control,0,0,2024-01-30
720,control,0,0,2024-01-28
721,control,1,30,2024-01-25
722,control,0,0,2024-01-20
723,control,0,0,2024-01-28
724,control,0,0,2024-01-25
725,control,0,0,2024-01-11
726,control,0,0,2024-01-19
727,control,0,0,2024-01-28
728,control,0,0,2024-01-01
729,control,0,0,2024-01-27
730,control,0,0,2024-01-05
731,control,0,0,2024-01-10
732,control,0,0,2024-01-10
733,control,0,0,2024-01-14
734,control,0,0,2024-01-02
735,control,0,0,2024-01-04
736,control,0,0,2024-01-02
737,control,0,0,2024-01-18
738,control,0,0,2024-01-13
739,control,0,0,2024-01-19
740,control,0,0,2024-01-05
741,control,0,0,2024-01-20
742,control,0,0,2024-01-02
743,control,0,0,2024-01-11
744,control,0,0,2024-01-30
745,control,0,0,2024-01-30
746,control,0,0,2024-01-26
747,control,0,0,2024-01-18
748,control,0,0,2024-01-30
749,control,1,30,2024-01-06
750,control,0,0,2024-01-23
751,control,0,0,2024-01-28
752,control,1,30,2024-01-10
753,control,0,0,2024-01-22
754,control,0,0,2024-01-23
755,control,0,0,2024-01-17
756,control,0,0,2024-01-22
757,control,0,0,2024-01-11
758,control,0,0,2024-01-19
759,control,0,0,2024-01-17
760,control,0,0,2024-01-24
761,control,0,0,2024-01-04
762,control,0,0,2024-01-26
763,control,0,0,2024-01-24
764,control,0,0,2024-01-26
765,control,0,0,2024-01-14
766,control,0,0,2024-01-27
767,control,0,0,2024-01-20
768,control,0,0,2024-01-04
769,control,0,0,2024-01-28
770,control,0,0,2024-01-14
771,control,0,0,2024-01-26
772,control,0,0,2024-01-04
773,control,0,0,2024-01-06
774,control,0,0,2024-01-30
775,control,0,0,2024-01-09
776,control,0,0,2024-01-21
777,control,0,0,2024-01-12
778,control,0,0,2024-01-29
779,control,0,0,2024-01-26
780,control,0,0,2024-01-30
781,control,0,0,2024-01-08
782,control,0,0,2024-01-24
783,control,0,0,2024-01-04
784,control,0,0,2024-01-27
785,control,0,0,2024-01-26
786,control,1,30,2024-01-25
787,control,0,0,2024-01-25
788,control,0,0,2024-01-05
789,control,0,0,2024-01-06
790,control,1,30,2024-01-05
791,control,0,0,2024-01-19
792,control,0,0,2024-01-27
793,control,0,0,2024-01-08
794,control,0,0,2024-01-09
795,control,0,0,2024-01-15
796,control,0,0,2024-01-04
797,control,1,30,2024-01-25
798,control,0,0,2024-01-09
799,control,0,0,2024-01-07
800,control,1,30,2024-01-08
801,control,0,0,2024-01-15
802,control,0,0,2024-01-19
803,control,0,0,2024-01-15
804,control,0,0,2024-01-05
805,control,0,0,2024-01-19
806,control,0,0,2024-01-07
807,control,1,30,2024-01-06
808,control,1,30,2024-01-27
809,control,0,0,2024-01-19
810,control,0,0,2024-01-25
811,control,1,30,2024-01-28
812,control,0,0,2024-01-17
813,control,0,0,2024-01-10
814,control,1,30,2024-01-19
815,control,0,0,2024-01-11
816,control,0,0,2024-01-15
817,control,0,0,2024-01-10
818,control,0,0,2024-01-11
819,control,0,0,2024-01-23
820,control,0,0,2024-01-03
821,control,0,0,2024-01-30
822,control,0,0,2024-01-03
823,control,0,0,2024-01-18
824,control,0,0,2024-01-25
825,control,0,0,2024-01-11
826,control,1,30,2024-01-20
827,control,0,0,2024-01-26
828,control,0,0,2024-01-29
829,control,0,0,2024-01-22
830,control,0,0,2024-01-18
831,control,0,0,2024-01-25
832,control,0,0,2024-01-15
833,control,0,0,2024-01-07
834,control,0,0,2024-01-10
835,control,0,0,2024-01-21
836,control,0,0,2024-01-23
837,control,1,30,2024-01-30
838,control,0,0,2024-01-20
839,control,0,0,2024-01-29
840,control,0,0,2024-01-10
841,control,0,0,2024-01-13
842,control,0,0,2024-01-15
843,control,0,0,2024-01-23
844,control,1,30,2024-01-18
845,control,0,0,2024-01-23
846,control,0,0,2024-01-04
847,control,0,0,2024-01-20
848,control,1,30,2024-01-17
849,control,0,0,2024-01-28
850,control,0,0,2024-01-03
851,control,0,0,2024-01-21
852,control,0,0,2024-01-21
853,control,0,0,2024-01-02
854,control,0,0,2024-01-04
855,control,0,0,2024-01-01
856,control,0,0,2024-01-15
857,control,0,0,2024-01-25
858,control,0,0,2024-01-01
859,control,0,0,2024-01-06
860,control,0,0,2024-01-07
861,control,0,0,2024-01-19
862,control,0,0,2024-01-12
863,control,0,0,2024-01-01
864,control,0,0,2024-01-07
865,control,0,0,2024-01-19
866,control,0,0,2024-01-13
867,control,0,0,2024-01-26
868,control,0,0,2024-01-12
869,control,0,0,2024-01-12
870,control,1,30,2024-01-22
871,control,0,0,2024-01-13
872,control,0,0,2024-01-28
873,control,0,0,2024-01-14
874,control,0,0,2024-01-22
875,control,0,0,2024-01-30
876,control,0,0,2024-01-12
877,control,0,0,2024-01-20
878,control,0,0,2024-01-12
879,control,0,0,2024-01-27
880,control,0,0,2024-01-06
881,control,0,0,2024-01-27
882,control,0,0,2024-01-10
883,control,0,0,2024-01-20
884,control,0,0,2024-01-29
885,control,0,0,2024-01-24
886,control,0,0,2024-01-09
887,control,0,0,2024-01-02
888,control,0,0,2024-01-07
889,control,0,0,2024-01-09
890,control,0,0,2024-01-25
891,control,0,0,2024-01-12
892,control,0,0,2024-01-05
893,control,0,0,2024-01-01
894,control,0,0,2024-01-22
895,control,0,0,2024-01-15
896,control,0,0,2024-01-08
897,control,0,0,2024-01-01
898,control,0,0,2024-01-18
899,control,0,0,2024-01-13
900,control,0,0,2024-01-29
901,control,0,0,2024-01-01
902,control,0,0,2024-01-05
903,control,0,0,2024-01-18
904,control,0,0,2024-01-16
905,control,0,0,2024-01-26
906,control,0,0,2024-01-10
907,control,0,0,2024-01-30
908,control,0,0,2024-01-04
909,control,0,0,2024-01-01
910,control,0,0,2024-01-23
911,control,0,0,2024-01-08
912,control,0,0,2024-01-05
913,control,0,0,2024-01-02
914,control,0,0,2024-01-24
915,control,0,0,2024-01-17
916,control,0,0,2024-01-07
917,control,0,0,2024-01-17
918,control,1,30,2024-01-28
919,control,0,0,2024-01-06
920,control,0,0,2024-01-29
921,control,0,0,2024-01-22
922,control,0,0,2024-01-15
923,control,0,0,2024-01-05
924,control,0,0,2024-01-15
925,control,0,0,2024-01-18
926,control,0,0,2024-01-18
927,control,0,0,2024-01-25
928,control,0,0,2024-01-21
929,control,0,0,2024-01-21
930,control,0,0,2024-01-23
